Category,Sub Category,Product,Price,Rating,Rating_Count
Arts & Crafts,Fabric,"42PCS Colored Felt Fabric Sheets, 6 x 6 inches Macdori Craft Felt Squares for DIY Craft and Sewing Projects",$5.69,4.5,328
Arts & Crafts,Fabric,LOTOFUN 30 Pieces Random Colors Faux Leather Sheets 8 x 6 Inch Multiple Styles Mixed Glitter Grain Texture Embossed Leopard Pattern Printed Colored Cork Leather Fabric for Earrings Making Hair Bow and Crafts DIY,$12.99,4.5,105
Arts & Crafts,Fabric,Tulle Rolls 6” by 100 Yards (300 feet) Tulle Roll Spool Fabric for DIY Tutu Skirts Wedding Baby Shower Crafts Decorations Party Supplies (White),$10.99,4.6,323
,Fabric,"Avery 8938 Printable Heat Fabric Transfers for DIY Projects on Light Fabrics -- Make Custom Gifts, Pack of 18",$16.28,4.4,11319
Arts & Crafts,Fabric,"Crystal Organza Tulle Sheer Fabric Backdrop Curtains for Wedding Baby Shower Birthday Party Event Decor, 19” by 30 Yard (White)",$13.99,4.4,1168
Arts & Crafts,Fabric,"40 Pcs 6 x 6 Inches Craft Felt Fabric Sheets, Assorted Colors Non Woven Felt Sheets, Thick Felt Fabric Square for Kids, DIY Sewing Crafts, Patchwork, School Projects, Decoration.",$4.85,4.6,1190
Arts & Crafts,Fabric,"LOVOUS® 100% Nature Linen Needlework Fabric, Plain Solid Colour Linen Fabric Cloth Hemp Jute Fabric Table Cloth Garments Crafts Accessories, 20 by 62-Inch (Color 1)",$9.99,4.4,1563
Arts & Crafts,Fabric,"House2Home Upholstery Tack Strip, 1/2 Inch x 10 Yard Roll, Great for Making Professional Edges on Furniture, Couch, Chair, and Sofa, Includes Instructions",$9.37,4.6,570
Arts & Crafts,Fabric,"Halyuhn Felt Furniture Pads Large Square 15’’ x 12’’, 8mm Thick Square Felt Pads for Furniture, Cuttable Felt Furniture Pads for Hardwood Floors Protection, Felt Pads for Furniture Square (2 Pack)",$9.99,4.1,3
Arts & Crafts,Fabric,"HANPATQUI Quilting Cotton Fabric for Sewing, Craft Fabric Squares, Fat Quarters Fabric Bundles for DIY &Patchwork (Green 48pcs 8"" x 8"")…",$13.77,4.2,36
Arts & Crafts,Fabric,"Cotton Fabric by The Yard,Quilting Muslin Fabric for Sewing,2 Yard (Deep Pink)",$12.77,4.6,53
Arts & Crafts,Fabric,African Fabric 6 Yard Ankara Fabric Tribal Print Fabric for Party Dress A18,$22.99,3.0,1
Arts & Crafts,Fabric Decorating,"Tulip One-Step Tie-Dye Party, 18 Pre-Filled Bottles, Creative Group Activity, All-in-1 Fashion Design Kit, 1 Pack, Rainbow",$16.47,4.8,27521
Arts & Crafts,Fabric Decorating,"Rit Dye 88150 All Purpose Liquid Dye, Black, 8 Fl Oz",$9.09,4.3,16041
Arts & Crafts,Fabric Decorating,"Tulip One-Step Tie-Dye Kit 15-Color Party Kit, Standard, Rainbow",$14.80,4.8,14419
Arts & Crafts,Fabric Decorating,"Fabric Markers Pen, 32 Colors Permanent Fabric Paint Pens Art Markers Set - Fine Tip, Child Safe & Non- Toxic for Canvas, Bags, T-Shirts, Sneakers",$12.99,4.5,1672
Arts & Crafts,Fabric Decorating,"Tulip One-Step Tie-Dye Kit Extra Large Block Party 16 oz Easy Squeeze Bottles, All-in-1 Kit for Group Activity Tie-Dye, 6, Vibrant Colors",$19.79,4.8,5281
Arts & Crafts,Fabric Decorating,"Tulip One-Step Tie-Dye Kit One-Step 8 Color Kit Tie Dye, Celestial",$12.89,4.8,2787
Arts & Crafts,Fabric Decorating,"Tulip One-Step Tie-Dye Kit Block Party 16oz 8 Color Tie Dye, Rainbow",$25.21,4.7,219
Arts & Crafts,Fabric Decorating,Large Tie Dye Kit for Kids and Adults - 239 Pack Permanent Tie Dye Kits for Clothing Craft Fabric Textile Party Group Handmade Project (Dye up to 60 Medium Adults T-Shirts!),$26.88,4.7,814
Arts & Crafts,Fabric Decorating,"Mosaiz Fabric Markers Set of 26 colors, Fabric Pens Permanent No Bleed, Canvas Markers Fabric Paint Pens, Fabric Crayons for Fabric Decorating, With Gold and Silver Shirt Paint and 36 Letter Stencils",$17.95,4.3,2034
Arts & Crafts,Fabric Decorating,Jacquard Cyanotype Sensitizer Set,$12.79,4.7,1001
Arts & Crafts,Fabric Decorating,Tie Dye Kit - Tie Dye Kits for Kids - Includes 4 White T-Shirt - 12 Large Colors Tie Dye - Tie Dye Kits for Adults - Tie Dye Party Supplies - tie dye kit for large groups - tye dye kit - Tyedyedye Kit,$28.96,4.6,1317
Arts & Crafts,Fabric Decorating,"Tie Dye Kit - Tie Dye Powder for Kids and Adults- 18 Large Colors Tie Dye - Tie Dye Kits for Girls, All-in-1 DIY Tie Dye Set for Craft Arts Fabric Textile Party DIY Handmade Project",$23.99,5.0,2
Arts & Crafts,Fabric Decorating,"Aiboria Tie Dye DIY Kit,5 Colors Shirt Fabric Tie Dye Kit for Kids,Adults Non-Toxic Vibrant Tie Dye Supplies with Rubber Bands,Gloves for DIY Arts and Crafts(120ml)",$8.99,4.3,14
Arts & Crafts,Fabric Decorating,"COLORFUL Fabric Paint Set for Clothes with 6 Brushes, 1 Palette, 12 Colors - Permanent Textile Paint Puffy Paint Kit for Shoes, Canvas - Non-Toxic Slick Painting Set for Adults, Beginner & Artists",$13.90,4.5,243
Arts & Crafts,Fabric Decorating,"Tulip One-Step Tie-Dye Kit Refills 30 Pack, Rainbow Tie Dye",$30.99,4.7,643
Arts & Crafts,Fabric Decorating,"Tulip One-Step Tie Dye Ultimate Summer Bundle, Classroom Pack, Tie Dye Party Supplies, Durable Results - Includes 30 Bottles, Comes with Easy Techniques for Kids and Adults",$45.44,4.8,1163
Arts & Crafts,Fabric Decorating,"Mosaiz Tie Dye Kit of 26 Colors, Spray Tie Dye for Creative Activities and DIY for Kids and Adults, Fabric Dyeing Set, Fun Summer Activity Outdoor",$25.97,4.4,1522
Arts & Crafts,Fabric Decorating,"Individuall 2-in-1 Glow-in-the-Dark Paint, Reflective Acrylic Paints for Outdoor and Indoor Use on Canvas, Walls and Ornament Painting - Set of 8, 20 mL",$18.98,4.0,5073
Arts & Crafts,Fabric Decorating,"Permanent Fabric Paint for Clothes, 16 Colors - Fabric Paint for Canvas Textile Paint Cloth Paint Fabric Paint Set Fabric Paints Child Safe Paint for Fabric with 10 Brushes & Storage Box (60ml each)",$24.88,5.0,7
Arts & Crafts,Fabric Decorating,"Fabric Paint, Shuttle Art 18 Colors Permanent Soft Fabric Paint in Bottles (60ml/2oz) with Brushes, Palette, Stencils, Non-Toxic Textile Paint for T-shirts, Shoes, Jeans, Bags, DIY Projects&Art Crafts",$22.99,4.5,401
Arts & Crafts,Fabric Decorating,"Magicfly Permanent Soft Fabric Paint Set for Clothes, Set of 14(60ml Each) Textile T-shirt Paints with 3 Brushes, No Heating Needed & Washable Fabric Paints for Clothes, Canvas, T-Shirts, Jeans, Bags, All DIY Projects",$21.99,4.5,2455
Arts & Crafts,Fabric Decorating,"Tie Dye Kits, 120ml 3 Colors Permanent One Step Tie Dye Set Dyeing Faric Items Tye Dye for Party Group Activity",$19.99,4.0,12
Arts & Crafts,Fabric Decorating,Red Water Tracing & Leak Detection Flourescent Dye - 1 Gallon,$27.99,4.1,540
Arts & Crafts,Fabric Decorating,"Magicfly 3D Fabric Permanent Paint 40 Color, Puffy Paint with Vibrant Colors, 3 Bonus Brushes & Stencils, Ideal for Textile T-Shirts Fabrics Canvas Glass Wood (5 Color Type & 1 oz Each)",$25.99,4.7,2342
Arts & Crafts,Fabric Decorating,"COLORFUL Fabric Paint Set for Clothes with 6 Brushes, 1 Palette, 24 Colors - Permanent Textile Paint Puffy Paint Kit for Shoes, Canvas - Non-Toxic Slick Painting Set for Adults, Beginner & Artists",$16.90,4.6,90
Arts & Crafts,Fabric Decorating,Stationery Island Fabric Markers Dual Tip pens - 1mm & 2mm - Set of 24 - Assorted Colours - Felt Tip Nibs Fabric Paint Pens - fabric marker permanent for clothes,$13.99,4.3,401
Arts & Crafts,Fabric Decorating,"Tie Dye Kit 24 Colors, DIY Fabric Tie Dye Kits for Kids, Adults and Groups, Non-Toxic, Tie Dye Craft Kit for an Ideal Gift Creative Group Arts Party (Blue)",$21.99,4.7,10
Arts & Crafts,Fabric Decorating,"Fabric Markers, Lelix 36 Colors Permanent Fabric Pens for Writing Painting on T-Shirts Clothes Sneakers Canvas, Child Safe & Non-Toxic for Kids Adults",$12.99,4.4,191
Arts & Crafts,Fabric Decorating,"Tie Dye Kit, Set of 26 Natural Colored Dye for Clothes and Fabric, DIY Kits for Kids, Women, Party Natural Color Dye with Rubber Bands, Gloves, Aprons, Table Cover for Arts Crafts Projects, 26X60ml",$24.95,4.4,164
Arts & Crafts,Fabric Decorating,"Fabric Paint Set, Shuttle Art 45 Colors 3D Permanent Paint with Brushes Palette Fabric Pen Fabric Sheet Stencils, Glow in The Dark, Glitter,Metallic Colors for Textile Fabric T-shirt Jeans Glass",$25.99,4.6,897
Arts & Crafts,Gift Wrapping Supplies,24 Pieces Kraft Paper Party Favor Gift Bags with Handle Assorted Colors (Rainbow),$13.69,4.7,4803
Arts & Crafts,Gift Wrapping Supplies,"Hallmark White Tissue Paper (100 Sheets) for Birthdays, Easter, Mothers Day, Graduations, Gift Wrap, Crafts, DIY Paper Flowers, Tassel Garland and More",$9.99,4.8,2668
Arts & Crafts,Gift Wrapping Supplies,"Hopttreely 100PCS Premium Sheer Organza Bags, White Wedding Favor Bags with Drawstring, 4x4.72 Jewelry Gift Bags for Party, Jewelry, Christmas, Festival, Bathroom Soaps, Makeup Organza Favor Bags",$7.99,4.8,13091
Arts & Crafts,Gift Wrapping Supplies,"Hallmark Gift Bags Assortment, Floral, Stripes, Polka Dots, Solids (Pack of 8: 4 Large 13"" and 4 Medium 9"") for Birthdays, Mother's Day, Baby Showers, Bridal Showers, Any Occasion",$11.08,4.8,1343
Arts & Crafts,Gift Wrapping Supplies,"Hallmark 13"" Large Gift Bag with Tissue Paper (Purple Flowers, Gold Accents) for Birthdays, Mother's Day, Bridal Showers, Weddings, Retirements, Anniversaries, Engagements, Any Occasion",$5.99,4.8,2913
Arts & Crafts,Gift Wrapping Supplies,"Paper Bags 8x4.25x10.5 100Pcs BagDream Gift Bags, Party Bags, Shopping Bags, Kraft Bags, Retail Bags, Merchandise Bags, Brown Paper Bags with Handles Bulk",$25.99,4.8,4837
Arts & Crafts,Gift Wrapping Supplies,Ocean Tides Tissue Paper Gift Wrap - Bulk Wrapping 100 200 300 or 500 Sheets 15 x 20 Assorted Black Blue Fuchsia Gold Green Orange Pink Purple Silver White Yellow,$10.99,4.7,2984
Arts & Crafts,Gift Wrapping Supplies,"BagDream Kraft Paper Bags 100Pcs 5.25x3.75x8 Inches Small Paper Gift Bags with Handles Bulk, Paper Shopping Bags, Kraft Bags, Party Bags, Brown Bags",$21.99,4.8,4851
Arts & Crafts,Gift Wrapping Supplies,"100 Pcs 8 in x 6 in Clear Flat Cello Cellophane Treat Bags Good for Bakery,Popcorn,Cookies, Candies,Dessert 1.4mil.Give Metallic Twist Ties!",$6.50,4.7,6043
Arts & Crafts,Gift Wrapping Supplies,"100 Pack 5.25x3.25x8 inch Brown Small Paper Bags with Handles Bulk, bagmad Gift Paper Bags, Kraft Birthday Party Favors Grocery Retail Shopping Craft Bags Takeouts Business (Plain Natural 100pcs)",$20.99,4.8,2856
Arts & Crafts,Gift Wrapping Supplies,"100PCS Cellophane Bags Clear Plastic Cello Bags 4x6 with 4"" Twist Ties 5 Mix Colors - 1.4 mils Thick OPP Treat Bags for Gift Wrapping Packaging Decorations Storage (4'' x 6'')",$4.99,4.6,4289
Arts & Crafts,Gift Wrapping Supplies,"Clear Cellophane Wrap Roll 16 Inches Wide 100 Feet Long Thick Cellophane Roll for Baskets Gifts Flowers Food Safe Cello Rolls. (16""x100')",$9.49,4.6,2033
Arts & Crafts,Gift Wrapping Supplies,"Moretoes White Gift Boxes 12 Pack 8x8x4 Inches, Paper Gift Box with Lids for Wedding Present, Bridesmaid Proposal Gift, Graduation, Holiday, Birthday Party Favor, Engagements and Christmas",$11.99,4.7,4335
Arts & Crafts,Gift Wrapping Supplies,"Future life 24 pcs Rainbow Party Favor Paper Bags, 5.2 * 3.2 * 9.6 Inch, Food Safe Kraft Paper and Ink, Natural (Biodegradable), Vivid Colored, Party Favor,Give Away Bags.",$6.99,4.8,929
Arts & Crafts,Gift Wrapping Supplies,"Loveinside Medium Size Gift Bags-Colorful Marble Pattern Gift Bag with Tissue Paper for Shopping, Parties, Wedding, Baby Shower, Craft-4 Pack-7"" X 4"" X 9""",$9.99,4.8,4335
Arts & Crafts,Gift Wrapping Supplies,"Berwick 1 01 Splendorette Crimped Curling Ribbon, 3/16-Inch Wide by 500-Yard Spool, White",$5.95,4.8,10987
Arts & Crafts,Gift Wrapping Supplies,"100 Pack 8x4.75x10 inch Plain Medium Paper Bags with Handles Bulk, Bagmad Brown Kraft Bags, Craft Gift Bags, Grocery Shopping Retail Bags, Birthday Party Favors Wedding Bags Sacks (Natural 100Pcs)",$24.99,4.8,2165
Arts & Crafts,Gift Wrapping Supplies,"Basic Solid White Bulk Tissue Paper 15"" x 20"" - 100 Sheets",$8.46,4.7,10955
Arts & Crafts,Gift Wrapping Supplies,"100 Pcs 10 in x 6 in(1.4mil.) Clear Flat Cello Cellophane Treat Bags Good for Bakery, Cookies, Candies,Dessert with 1 random Twist Ties!",$5.97,4.7,4652
Arts & Crafts,Gift Wrapping Supplies,"White Kraft Paper Bags Bulk with Handles - 25 White Paper Gift Bags with Handles Bulk a Paper Shopping Bags with Handles Bulk for Business (8""x4.75""x10"" - White Gift Bags Bulk Medium Size 25 Count)",$8.99,4.7,10944
Arts & Crafts,Gift Wrapping Supplies,"Mini Skater 8"" x 12"" Clear Treat Bags OPP Cello Cellophane Flat Bag With 50Pcs Gold Color Twist Ties For Wedding Gift Candy Cookie Bakery Bread Dessert, 50Pcs",$6.99,4.7,5225
Arts & Crafts,Gift Wrapping Supplies,"100Pcs Pack 8x4.75x10 inch Medium White Kraft Paper Bags with Handles Bulk, Bagmad Gift Bags, Craft Grocery Shopping Retail Birthday Party Favors Wedding Sacks Restaurant Takeout, Business (100)",$26.99,4.8,746
Arts & Crafts,Gift Wrapping Supplies,"Kraft Paper Gift Bags with Handles - 8x4.25x10.5 25 Pcs Brown Shopping Bags, Party Bags, Goody Bags, Cub, Favor Bags, Business Bags, Kraft Bags, Retail Bags",$9.99,4.8,6172
Arts & Crafts,Gift Wrapping Supplies,"Clear Cellophane Wrap Roll | 100’ Ft. Long X 16” In. Wide | 2.3 Mil Thick Crystal Clear | Gifts, Baskets, Arts & Crafts, Treats, Wrapping | Food Grade Specifications | By Anapoliz",$8.79,4.5,5216
Arts & Crafts,Knitting & Crochet,"14 Size Crochet Hooks Set,2mm(B)-10mm(N) Ergonomic Crochet Hooks with Case for Arthritic Hands, Extra Long Crochet Needles",$17.99,4.8,11903
Arts & Crafts,Knitting & Crochet,Red Heart Super Saver Yarn 312 Black,$3.67,4.7,2695
Arts & Crafts,Knitting & Crochet,"BeCraftee Crochet Hooks Kit - 12 Piece Set Extra-Long Crocheting Needles with Soft, Ergonomic Rubber Grips and 12 Hook Sizes - Knitting & Crochet Supplies for Beginners, Comfortable/Easy to Use",$10.95,4.7,13768
Arts & Crafts,Knitting & Crochet,BCMRUN 14 pcs Multicolor Aluminum Crochet Hooks Knitting Needles Craft Yarn 2-10mm,$7.77,4.8,14444
Arts & Crafts,Knitting & Crochet,"RED HEART Super Saver Yarn, White",$7.79,4.8,3113
Arts & Crafts,Knitting & Crochet,"Boye Plastic Yarn Sewing Needle Set, 2pc",$1.36,4.5,4185
Arts & Crafts,Knitting & Crochet,"Hekisn Large-Eye Blunt Needles, Stainless Steel Yarn Knitting Needles, Sewing Needles, Crafting Knitting Weaving Stringing Needles,Perfect for Finishing Off Crochet Projects (9 Pieces)",$4.12,4.7,7902
Arts & Crafts,Knitting & Crochet,"Vodiye 37 PCS Crochet Hooks Set, High Quality Coloured Aluminum Ergonomic Handle Crochet, Hook Needles for Arthritic Hands, with Stitch Markers and Large-Eye Blunt Needles",$7.99,4.7,3255
Arts & Crafts,Knitting & Crochet,Acrylic Yarn Skeins Large 1.76 Ounce(50g) Each – 12 Multicolor Knitting and Crochet Yarn Bulk – Starter Kit for Colorful Craft - 7 Ebooks with Yarn Patterns - by Mira HandCrafts,$16.54,4.4,5817
Arts & Crafts,Knitting & Crochet,"Red Heart E300.0319 Super Saver Economy Yarn, Cherry Red",$3.47,4.7,1919
